CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,Type de roche
0.000136237,2.35E-07,6.69E-05,9.38E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.000155063,2.35E-07,6.69E-05,9.38E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.000155063,8.40E-07,6.69E-05,9.38E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.000155063,2.35E-07,6.07E-05,8.71E-05,0.000447599,3.80E-05,2.23E-05,1.11E-05,R. carbonat̩es
0.00014565,5.38E-07,4.82E-05,8.04E-05,0.00247769,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,5.38E-07,6.07E-05,8.71E-05,0.001124296,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.71E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,8.40E-07,6.07E-05,8.71E-05,0.001800993,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.71E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,5.38E-07,6.07E-05,8.71E-05,0.001124296,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,8.40E-07,6.07E-05,8.71E-05,0.001124296,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,5.38E-07,6.07E-05,8.71E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.71E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,1.14E-06,6.07E-05,8.71E-05,0.00247769,3.80E-05,2.23E-05,1.11E-05,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.71E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.71E-05,0.001124296,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,1.14E-06,6.07E-05,8.04E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.04E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.04E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,5.38E-07,6.07E-05,8.04E-05,0.001124296,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,5.38E-07,6.07E-05,8.04E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.04E-05,0.000447599,3.80E-05,2.23E-05,1.11E-05,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.04E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.04E-05,0.000447599,3.80E-05,2.23E-05,1.11E-05,R. carbonat̩es
0.00014565,5.38E-07,6.07E-05,8.04E-05,0.001124296,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,2.35E-07,6.07E-05,8.04E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.00014565,1.14E-06,6.07E-05,8.04E-05,0.001124296,0.000108425,2.23E-05,1.11E-05,R. carbonat̩es
0.000136237,2.35E-07,6.07E-05,8.04E-05,0.000447599,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.000136237,8.40E-07,6.07E-05,8.04E-05,0.001124296,3.80E-05,2.23E-05,4.53E-06,R. carbonat̩es
0.000136237,2.35E-07,6.07E-05,8.04E-05,0.001800993,3.80E-05,2.23E-05,1.76E-05,R. carbonat̩es
0.000136237,1.14E-06,6.07E-05,8.04E-05,0.000447599,0.000108425,2.23E-05,4.53E-06,R. carbonat̩es
0.000136237,2.35E-07,6.07E-05,8.04E-05,0.000447599,3.80E-05,8.03E-05,4.53E-06,R. carbonat̩es
